service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
DEC19-MVS-BUS-Saturday-01,0,0,0,0,0,1,0,20200111,20200307
DEC19-MVS-BUS-Sunday-01,0,0,0,0,0,0,1,20200112,20200308
DEC19-MVS-BUS-Weekday-02,1,1,1,1,1,0,0,20200113,20200313
DEC19-MVS-BUS-Weekday-04,1,1,1,1,1,0,0,20200117,20200117
DEC19-MVS-BUS-Weekday-03,1,1,1,1,1,0,0,20200120,20200120
DEC19-MVS-BUS-Weekday-01,1,1,1,1,1,0,0,20200121,20200305
DEC19-MVS-BUS-Weekday-05,1,1,1,1,1,0,0,20200124,20200306
DEC19-MVS-BUS-Weekday-06,1,1,1,1,1,0,0,20200217,20200217
DEC19-MVS-BUS-Weekday-07,1,1,1,1,1,0,0,20200218,20200218
DEC19-MVS-NS-Saturday-01,0,0,0,0,0,1,0,20200111,20200307
DEC19-MVS-NS-Sunday-01,0,0,0,0,0,0,1,20200112,20200308
DEC19-MVS-NS-Weekday-01,1,1,1,1,1,0,0,20200113,20200313
DEC19-MVS-NS-Weekday-01-0000100,0,0,0,0,1,0,0,20200113,20200313
DEC19-RAIL-Saturday-01,0,0,0,0,0,1,0,20200111,20200307
DEC19-RAIL-Sunday-01,0,0,0,0,0,0,1,20200112,20200308
DEC19-RAIL-Weekday-01,1,1,1,1,1,0,0,20200113,20200313
DEC19-MVS-SUB-Weekday-01,1,1,1,1,1,0,0,20200113,20200313
DEC19-MVS-UM-Weekday-02,1,1,1,1,1,0,0,20200113,20200313
DEC19-MVS-UM-Sunday-02,0,0,0,0,0,0,1,20200119,20200119
DEC19-MVS-UM-Weekday-05,1,1,1,1,1,0,0,20200120,20200120
DEC19-MVS-UM-Weekday-06,1,1,1,1,1,0,0,20200121,20200306
DEC19-MVS-UM-Weekday-06-0001100,0,0,0,1,1,0,0,20200121,20200306
DEC19-MVS-UM-Saturday-01,0,0,0,0,0,1,0,20200125,20200307
DEC19-MVS-UM-Sunday-01,0,0,0,0,0,0,1,20200126,20200301
