service_id,date,exception_type
DEC19-MVS-BUS-Weekday-02,20200117,2
DEC19-MVS-BUS-Weekday-02,20200120,2
DEC19-MVS-BUS-Weekday-02,20200121,2
DEC19-MVS-BUS-Weekday-02,20200122,2
DEC19-MVS-BUS-Weekday-02,20200123,2
DEC19-MVS-BUS-Weekday-02,20200124,2
DEC19-MVS-BUS-Weekday-02,20200127,2
DEC19-MVS-BUS-Weekday-02,20200128,2
DEC19-MVS-BUS-Weekday-02,20200129,2
DEC19-MVS-BUS-Weekday-02,20200130,2
DEC19-MVS-BUS-Weekday-02,20200131,2
DEC19-MVS-BUS-Weekday-02,20200203,2
DEC19-MVS-BUS-Weekday-02,20200204,2
DEC19-MVS-BUS-Weekday-02,20200205,2
DEC19-MVS-BUS-Weekday-02,20200206,2
DEC19-MVS-BUS-Weekday-02,20200207,2
DEC19-MVS-BUS-Weekday-02,20200210,2
DEC19-MVS-BUS-Weekday-02,20200211,2
DEC19-MVS-BUS-Weekday-02,20200212,2
DEC19-MVS-BUS-Weekday-02,20200213,2
DEC19-MVS-BUS-Weekday-02,20200214,2
DEC19-MVS-BUS-Weekday-02,20200217,2
DEC19-MVS-BUS-Weekday-02,20200218,2
DEC19-MVS-BUS-Weekday-02,20200219,2
DEC19-MVS-BUS-Weekday-02,20200220,2
DEC19-MVS-BUS-Weekday-02,20200221,2
DEC19-MVS-BUS-Weekday-02,20200224,2
DEC19-MVS-BUS-Weekday-02,20200225,2
DEC19-MVS-BUS-Weekday-02,20200226,2
DEC19-MVS-BUS-Weekday-02,20200227,2
DEC19-MVS-BUS-Weekday-02,20200228,2
DEC19-MVS-BUS-Weekday-02,20200302,2
DEC19-MVS-BUS-Weekday-02,20200303,2
DEC19-MVS-BUS-Weekday-02,20200304,2
DEC19-MVS-BUS-Weekday-02,20200305,2
DEC19-MVS-BUS-Weekday-02,20200306,2
DEC19-MVS-BUS-Weekday-01,20200124,2
DEC19-MVS-BUS-Weekday-01,20200217,2
DEC19-MVS-BUS-Weekday-01,20200218,2
DEC19-MVS-BUS-Weekday-05,20200127,2
DEC19-MVS-BUS-Weekday-05,20200128,2
DEC19-MVS-BUS-Weekday-05,20200129,2
DEC19-MVS-BUS-Weekday-05,20200130,2
DEC19-MVS-BUS-Weekday-05,20200131,2
DEC19-MVS-BUS-Weekday-05,20200203,2
DEC19-MVS-BUS-Weekday-05,20200204,2
DEC19-MVS-BUS-Weekday-05,20200205,2
DEC19-MVS-BUS-Weekday-05,20200206,2
DEC19-MVS-BUS-Weekday-05,20200207,2
DEC19-MVS-BUS-Weekday-05,20200210,2
DEC19-MVS-BUS-Weekday-05,20200211,2
DEC19-MVS-BUS-Weekday-05,20200212,2
DEC19-MVS-BUS-Weekday-05,20200213,2
DEC19-MVS-BUS-Weekday-05,20200214,2
DEC19-MVS-BUS-Weekday-05,20200217,2
DEC19-MVS-BUS-Weekday-05,20200218,2
DEC19-MVS-BUS-Weekday-05,20200219,2
DEC19-MVS-BUS-Weekday-05,20200220,2
DEC19-MVS-BUS-Weekday-05,20200221,2
DEC19-MVS-BUS-Weekday-05,20200224,2
DEC19-MVS-BUS-Weekday-05,20200225,2
DEC19-MVS-BUS-Weekday-05,20200226,2
DEC19-MVS-BUS-Weekday-05,20200227,2
DEC19-MVS-BUS-Weekday-05,20200228,2
DEC19-MVS-BUS-Weekday-05,20200302,2
DEC19-MVS-BUS-Weekday-05,20200303,2
DEC19-MVS-BUS-Weekday-05,20200304,2
DEC19-MVS-BUS-Weekday-05,20200305,2
DEC19-MVS-UM-Weekday-02,20200120,2
DEC19-MVS-UM-Weekday-02,20200121,2
DEC19-MVS-UM-Weekday-02,20200122,2
DEC19-MVS-UM-Weekday-02,20200123,2
DEC19-MVS-UM-Weekday-02,20200124,2
DEC19-MVS-UM-Weekday-02,20200127,2
DEC19-MVS-UM-Weekday-02,20200128,2
DEC19-MVS-UM-Weekday-02,20200129,2
DEC19-MVS-UM-Weekday-02,20200130,2
DEC19-MVS-UM-Weekday-02,20200131,2
DEC19-MVS-UM-Weekday-02,20200203,2
DEC19-MVS-UM-Weekday-02,20200204,2
DEC19-MVS-UM-Weekday-02,20200205,2
DEC19-MVS-UM-Weekday-02,20200206,2
DEC19-MVS-UM-Weekday-02,20200207,2
DEC19-MVS-UM-Weekday-02,20200210,2
DEC19-MVS-UM-Weekday-02,20200211,2
DEC19-MVS-UM-Weekday-02,20200212,2
DEC19-MVS-UM-Weekday-02,20200213,2
DEC19-MVS-UM-Weekday-02,20200214,2
DEC19-MVS-UM-Weekday-02,20200217,2
DEC19-MVS-UM-Weekday-02,20200218,2
DEC19-MVS-UM-Weekday-02,20200219,2
DEC19-MVS-UM-Weekday-02,20200220,2
DEC19-MVS-UM-Weekday-02,20200221,2
DEC19-MVS-UM-Weekday-02,20200224,2
DEC19-MVS-UM-Weekday-02,20200225,2
DEC19-MVS-UM-Weekday-02,20200226,2
DEC19-MVS-UM-Weekday-02,20200227,2
DEC19-MVS-UM-Weekday-02,20200228,2
DEC19-MVS-UM-Weekday-02,20200302,2
DEC19-MVS-UM-Weekday-02,20200303,2
DEC19-MVS-UM-Weekday-02,20200304,2
DEC19-MVS-UM-Weekday-02,20200305,2
DEC19-MVS-UM-Weekday-02,20200306,2
